country,pi,u_icer,ll_icer,ul_icer
Mozambique,0.23700000000000002,268.17024106255434,205.29641556163307,331.0440665634756
Mozambique,0.23800000000000002,267.0434753438041,204.43382558028168,329.65312510732656
Mozambique,0.23900000000000002,265.92613862688444,203.57845392513403,328.2738233286349
Mozambique,0.24000000000000002,264.8181130492724,202.73021036711265,326.9060157314322
Mozambique,0.24100000000000002,263.7192827046696,201.88900617471796,325.5495592346212
Mozambique,0.24200000000000002,262.6295336025842,201.05475408308695,324.2043131220815
Mozambique,0.24300000000000002,261.548753628911,200.22736826381492,322.8701389940071
Mozambique,0.24400000000000002,260.47683250748105,199.4067642955206,321.5469007194415
Mozambique,0.245,259.4136617625526,198.59285913513077,320.2344643899744
Mozambique,0.246,258.359134682217,197.7855710898661,318.93269827456794
Mozambique,0.247,257.3131462826939,196.98481978990714,317.6414727754806
Mozambique,0.248,256.27559327348945,196.19052616172195,316.36066038525695
Mozambique,0.249,255.24637402339513,195.4026124020363,315.09013564475396
Mozambique,0.25,254.22538852730153,194.62100195242814,313.82977510217495
Mozambique,0.251,253.2125383738063,193.84561947453008,312.5794572730825
Mozambique,0.252,252.20772671359276,193.07639082582156,311.33906260136393
Mozambique,0.253,251.21085822855883,192.3132430359962,310.10847342112146
Mozambique,0.254,250.22183910167473,191.55610428388596,308.88757391946353
Mozambique,0.255,249.24057698755053,190.80490387492958,307.6762501001715
Mozambique,0.256,248.2669809836929,190.05957221916813,306.4743897482176
Mozambique,0.257,247.30096160243338,189.32004080975503,305.2818823951117
Mozambique,0.258,246.34243074350923,188.5862422019653,304.0986192850532
Mozambique,0.259,245.39130166727946,187.85810999269125,302.9244933418677
Mozambique,0.26,244.44748896855916,187.13557880041168,301.75939913670663
Mozambique,0.261,243.5109085510551,186.41858424562088,300.60323285648934
Mozambique,0.262,242.58147760238694,185.70706293170628,299.4558922730676
Mozambique,0.263,241.65911456967825,185.00095242626247,298.31727671309403
Mozambique,0.264,240.74373913570219,184.3001912428297,297.1872870285747
Mozambique,0.265,239.83527219556746,183.6047188230454,296.0658255680895
Mozambique,0.266,238.93363583393003,182.91447551919944,294.95279614866064
Mozambique,0.267,238.0387533027168,182.2294025771799,293.84810402825366
Mozambique,0.268,237.15054899934844,181.54944211980236,292.75165587889455
Mozambique,0.269,236.26894844544753,180.8745371305095,291.66335976038556
Mozambique,0.27,235.39387826601993,180.2046314374335,290.5831250946064
Mozambique,0.271,234.52526616909734,179.5396696978119,289.51086264038275
Mozambique,0.272,233.6630409258286,178.87959738274645,288.44648446891074
Mozambique,0.273,232.8071323510087,178.2243607622968,287.3899039397206
Mozambique,0.274,231.95747128403423,177.57390689090158,286.3410356771669
Mozambique,0.275,231.1139895702741,176.92818359311647,285.2997955474317
Mozambique,0.276,230.2766200428456,176.28713944966316,284.26610063602806
Mozambique,0.277,229.44529650478475,175.6507237837799,283.23986922578956
Mozambique,0.278,228.61995371160208,175.01888664786702,282.22102077533714
Mozambique,0.279,227.80052735421285,174.39157881041947,281.20947589800625
Mozambique,0.28,226.9869540422335,173.76875174323942,280.20515634122756
Mozambique,0.281,226.1791712876348,173.1503576089218,279.2079849663478
Mozambique,0.28200000000000003,225.37711748874247,172.53634924860648,278.21788572887846
Mozambique,0.28300000000000003,224.58073191457729,171.92668016998954,277.23478365916503
Mozambique,0.28400000000000003,223.78995468952596,171.32130453558813,276.2586048434638
Mozambique,0.28500000000000003,223.00472677833466,170.72017715125278,275.28927640541656
Mozambique,0.28600000000000003,222.2249899714174,170.12325345491968,274.3267264879151
Mozambique,0.28700000000000003,221.45068687047169,169.53048950559943,273.3708842353439
Mozambique,0.28800000000000003,220.6817608743937,168.94184197259386,272.4216797761935
Mozambique,0.28900000000000003,219.91815616548573,168.35726812493783,271.4790442060336
Mozambique,0.29000000000000004,219.15981769594958,167.7767258210588,270.5429095708404
Mozambique,0.29100000000000004,218.40669117465765,167.20017349864963,269.61320885066567
Mozambique,0.29200000000000004,217.65872305419649,166.62757016475007,268.6898759436429
Mozambique,0.29300000000000004,216.91586051817532,166.05887538603085,267.7728456503198
Mozambique,0.294,216.17805146879385,165.4940492792757,266.862053658312
Mozambique,0.295,215.44524451466233,164.93305250205776,265.9574365272669
Mozambique,0.296,214.71738895886955,164.3758462436049,265.0589316741342
Mozambique,0.297,213.99443478729086,163.8223922158486,264.1664773587331
Mozambique,0.298,213.27633265713217,163.27265264465447,263.28001266960985
Mozambique,0.299,212.56303388570365,162.72659026122756,262.39947751017974
Mozambique,0.3,211.85449043941796,162.18416829369016,261.52481258514575
Mozambique,0.301,211.15065492300792,161.64535045882738,260.65595938718843
Mozambique,0.302,210.45148056895823,161.11010095399683,259.79286018391963
Mozambique,0.303,209.7569212271465,160.5783844491982,258.9354580050948
Mozambique,0.304,209.06693135468876,160.0501660792995,258.08369663007807
Mozambique,0.305,208.38146600598486,159.52541143641656,257.23752057555316
Mozambique,0.306,207.70048082295875,159.00408656244133,256.3968750834762
Mozambique,0.307,207.02393202548984,158.48615794171673,255.56170610926296
Mozambique,0.308,206.35177640203048,157.97159249385402,254.73196031020694
Mozambique,0.309,205.68397130040577,157.46035756668948,253.90758503412206
Mozambique,0.31,205.02047461879155,156.95242092937752,253.08852830820558
Mozambique,0.311,204.36124479686617,156.44775076561754,252.2747388281148
Mozambique,0.312,203.70624080713264,155.94631566700974,251.46616594725555
Mozambique,0.313,203.05542214640695,155.44808462654004,250.66275966627387
Mozambique,0.314,202.40874882746937,154.95302703218806,249.86447062275067
Mozambique,0.315,201.76618137087425,154.4611126606573,249.0712500810912
Mozambique,0.316,201.1276807969158,153.97231167122487,248.28304992260672
Mozambique,0.317,200.4932086177457,153.48659459970676,247.49982263578462
Mozambique,0.318,199.86272682963957,153.00393235253784,246.7215213067413
Mozambique,0.319,199.23619790540872,152.52429620096254,245.9480996098549
Mozambique,0.32,198.6135847869543,152.04765777533453,245.17951179857408
Mozambique,0.321,197.9948508779607,151.57398905952348,244.4157126963979
Mozambique,0.322,197.37996003672478,151.10326238542564,243.65665768802393
Mozambique,0.323,196.76887656911885,150.63545042757602,242.90230271066167
Mozambique,0.324,196.16156522168328,150.17052619786122,242.15260424550533
Mozambique,0.325,195.55799117484733,149.70846304032932,241.40751930936534
Mozambique,0.326,194.95812003627418,149.24923462609522,240.66700544645315
Mozambique,0.327,194.36191783432838,148.7928149483396,239.93102072031715
Mozambique,0.328,193.76935101166276,148.3391783173995,239.19952370592603
Mozambique,0.329,193.18038641892215,147.8882993559485,238.4724734818958
Mozambique,0.33,192.59499130856176,147.44015299426377,237.74982962285975
Mozambique,0.331,192.0131333287776,146.99471446558022,237.03155219197498
Mozambique,0.332,191.43478051754633,146.5519593015272,236.31760173356545
Mozambique,0.333,190.8599012967729,146.11186332764876,235.60793926589704
Mozambique,0.334,190.28846446654305,145.67440265900314,234.90252627408296
Mozambique,0.335,189.72043919947873,145.2395536958419,234.20132470311557
Mozambique,0.336,189.1557950351946,144.80729311936625,233.50429695102292
Mozambique,0.337,188.59450187485277,144.377597887558,232.81140586214752
Mozambique,0.338,188.03652997581472,143.9504452310859,232.12261472054354
Mozambique,0.339,187.48184994638754,143.5258126492833,231.4378872434918
Mozambique,0.34,186.93043274066287,143.10367790619716,230.75718757512857
Mozambique,0.341,186.38224965344685,142.68401902670684,230.08048028018686
Mozambique,0.342,185.83727231527888,142.26681429271068,229.40773033784708
